New Name,,surv,surv_2020,surv_2019,surv_2018,surv_2017
Recorded Date,,Recorded Date,Recorded Date,Recorded Date,Recorded Date,Recorded Date
Response ID,,Response ID,Response ID,Response ID,Response ID,Response ID
Involved in BBA Student Org(s)?,,Are you currently involved in any BBA-affiliated student organizations?,Are you currently involved in any BBA-affiliated Student Organizations?,Are you currently involved in any BBA-affiliated Student Organizations?,How are you involved during your time as a BBA student? Check all that apply. - Selected Choice - Current member of BBA Student Organization,How are you involved during your time as a BBA student? Check all that apply. You can find a list of all BBA student organizations here: https://wsb.wisc.edu/programs-degrees/undergraduate-bba/student-life/student-organizations - Selected Choice - Member of BBA Student Organization
Why are you not currently involved with any BBA-affiliated student organizations? - I'm involved in other non-BBA student organizations,,"Why are you not currently involved with any
BBA-affiliated student organizations? (check all that apply) - Selected Choice - I'm involved in other non-BBA student organizations",Why not? (Check all that apply) - Selected Choice - I'm involved in non-BBA Student Org(s),Why not? (Check all that apply) - Selected Choice - I'm involved in non-BBA Student Org(s),,
Why are you not currently involved with any BBA-affiliated student organizations? - I'm not interested in student orgs in general,,Why are you not currently involved with any BBA-affiliated student organizations? (check all that apply) - Selected Choice - I'm not interested,Why not? (Check all that apply) - Selected Choice - Not interested,Why not? (Check all that apply) - Selected Choice - Not interested,,
Why are you not currently involved with any BBA-affiliated student organizations? - I don't have time,,Why are you not currently involved with any BBA-affiliated student organizations? (check all that apply) - Selected Choice - I don't have time,Why not? (Check all that apply) - Selected Choice - Don't have time,Why not? (Check all that apply) - Selected Choice - Don't have time,,
Why are you not currently involved with any BBA-affiliated student organizations? - I had a prior bad experience,,"Why are you not currently involved with any
BBA-affiliated student organizations? (check all that apply) - Selected Choice - I had a prior bad experience","Why not? (Check all that apply) - Selected Choice - I used to be involved, but didn't like it (please explain below)","Why not? (Check all that apply) - Selected Choice - I used to be involved, but didn't like it",,
Why are you not currently involved with any BBA-affiliated student organizations? - I don't feel welcome,,"Why are you not currently involved with any
BBA-affiliated student organizations? (check all that apply) - Selected Choice - I don't feel welcome",Why not? (Check all that apply) - Selected Choice - The org(s) I'm interested in has not felt welcoming or inclusive,Why not? (Check all that apply) - Selected Choice - The org(s) I'm interested in has not felt welcoming or inclusive,,
Why are you not currently involved with any BBA-affiliated student organizations? - I don't know enough about BBA student orgs,,"Why are you not currently involved with any
BBA-affiliated student organizations? (check all that apply) - Selected Choice - I don't know enough about BBA student orgs",,,,
"Why are you not currently involved with any BBA-affiliated student organizations? - Other, please specify:",,"Why are you not currently involved with any
BBA-affiliated student organizations? (check all that apply) - Selected Choice - Other, please specify:",Why not? (Check all that apply) - Selected Choice - Other,Why not? (Check all that apply) - Selected Choice - Other,,
